"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"factor(entity_year)Cameroon__2014",-7.29613213738759,2.42969084039008,-3.00290556152248,0.00284780284149209,-12.0731783360523,-2.51908593872291,"M4_country_year_pair_FE"
"factor(entity_year)Cameroon__2015",-0.367270101675152,2.42969084039009,-0.15115919094307,0.87992890212493,-5.14431630033986,4.40977609698955,"M4_country_year_pair_FE"
"factor(entity_year)Cameroon__2016",-1.66466137152606,2.42969084039008,-0.685132998755845,0.493670151838275,-6.44170757019075,3.11238482713862,"M4_country_year_pair_FE"
"factor(entity_year)Cameroon__2017",-2.26857797231488,2.42969084039007,-0.933689971828131,0.351046015800998,-7.04562417097956,2.5084682263498,"M4_country_year_pair_FE"
"factor(entity_year)Cameroon__2018",-2.59730916219493,2.42969084039008,-1.06898751027021,0.285741607343896,-7.37435536085962,2.17973703646977,"M4_country_year_pair_FE"
"factor(entity_year)Cameroon__2021",-3.66902998263165,2.42969084039007,-1.51008100357435,0.131838775710851,-8.44607618129633,1.10801621603302,"M4_country_year_pair_FE"
"factor(entity_year)Central African Republic__2019",-5.83825295393437,2.42969084039007,-2.40287894117306,0.0167365751372346,-10.6152991525991,-1.06120675526969,"M4_country_year_pair_FE"
"factor(entity_year)Central African Republic__2021",-3.9672214480771,2.42969084039008,-1.6328091550282,0.103322452740034,-8.74426764674179,0.8098247505876,"M4_country_year_pair_FE"
"factor(entity_year)Chad__2013",-6.32454198051388,2.42969084039009,-2.60302334575969,0.00959577554576128,-11.1015881791786,-1.54749578184917,"M4_country_year_pair_FE"
"factor(entity_year)Chile__2018",-0.938257862784129,2.42969084039009,-0.386163476927579,0.69958781118661,-5.71530406144884,3.83878833588059,"M4_country_year_pair_FE"
"factor(entity_year)Chile__2020",-4.73041929027259,2.42969084039009,-1.94692230453201,0.0522671454997311,-9.50746548893731,0.0466269083921285,"M4_country_year_pair_FE"
"factor(entity_year)Chile__2021",-1.77523630361309,2.42969084039008,-0.730642876082162,0.465439407379358,-6.55228250227778,3.0018098950516,"M4_country_year_pair_FE"
"factor(entity_year)Colombia__2018",-4.6779304011076,2.42969084039008,-1.92531919013885,0.0549219490219669,-9.45497659977229,0.0991157975570811,"M4_country_year_pair_FE"
"factor(entity_year)Colombia__2020",-4.08341557675353,2.42969084039008,-1.68063175317315,0.0936413545328098,-8.86046177541823,0.693630621911161,"M4_country_year_pair_FE"
"factor(entity_year)Colombia__2021",-3.59925417644184,2.42969084039006,-1.48136302636101,0.139323581071843,-8.3763003751065,1.17779202222282,"M4_country_year_pair_FE"
"factor(entity_year)Comoros__2014",-4.59472677202794,2.42969084039008,-1.8910746567618,0.0593609921904064,-9.37177297069263,0.182319426636745,"M4_country_year_pair_FE"
"factor(entity_year)Comoros__2015",-8.39604466203067,2.42969084039008,-3.45560205539677,0.000609899971832707,-13.1730908606954,-3.61899846336598,"M4_country_year_pair_FE"
"factor(entity_year)Comoros__2018",-7.06738919966343,2.42969084039007,-2.90876068764733,0.00383794647668313,-11.8444353983281,-2.29034300099877,"M4_country_year_pair_FE"
"factor(entity_year)Comoros__2019",-6.83453744160009,2.42969084039007,-2.81292472605397,0.00515956068101706,-11.6115836402648,-2.05749124293541,"M4_country_year_pair_FE"
"factor(entity_year)Congo__2013",-1.30668272903427,2.42969084039008,-0.537797940096973,0.591025678088421,-6.08372892769896,3.47036346963043,"M4_country_year_pair_FE"
"factor(entity_year)Congo__2014",-1.32403385284115,2.42969084039007,-0.54493922882328,0.586109205194828,-6.10108005150583,3.45301234582353,"M4_country_year_pair_FE"
"factor(entity_year)Congo__2015",-1.53090646209711,2.42969084039007,-0.630082822327853,0.529012239648946,-6.30795266076179,3.24613973656757,"M4_country_year_pair_FE"
"factor(entity_year)Congo__2016",-2.65368690631309,2.42969084039006,-1.09219118012853,0.275428527368286,-7.43073310497776,2.12335929235157,"M4_country_year_pair_FE"
"factor(entity_year)Congo__2017",-0.964816090703056,2.42969084039007,-0.397094179499875,0.691516915067558,-5.74186228936773,3.81223010796162,"M4_country_year_pair_FE"
"factor(entity_year)Congo__2019",-2.30153505407809,2.42969084039008,-0.947254282651281,0.344100312817954,-7.07858125274279,2.4755111445866,"M4_country_year_pair_FE"
"factor(entity_year)Cook Islands__2013",-6.47750759981624,2.42969084039007,-2.6659801700435,0.00799813060371654,-11.2545537984809,-1.70046140115157,"M4_country_year_pair_FE"
